sub4	tbasej4	rp131140	rp115124b	rp125126	jlap1_125	jlap1_126	cur2_125	cur2_126
0.00461452	0.566041	-0.0502817	-0.055315	-0.0540777	0.0259191	0.0248784	-0.0560371	-0.051256
0.00456389	0.607485	-0.0504263	-0.0552047	-0.0566736	0.016919	0.0184247	-0.0562392	-0.0522597
0.00455463	0.649217	-0.0505451	-0.0551596	-0.0584421	0.0105186	0.0213227	-0.0537701	-0.0521955
0.00445111	0.691917	-0.0506541	-0.055218	-0.0584933	0.0185586	0.0187231	-0.0551765	-0.0533103
0.00411531	0.736002	-0.0507697	-0.0553243	-0.0575687	0.0114587	0.0354815	-0.0543	-0.0538778
0.00347194	0.780242	-0.0509266	-0.0553777	-0.0570525	0.0292921	0.0257711	-0.0560368	-0.0515382
0.00258421	0.822562	-0.0511757	-0.055291	-0.0575885	0.0268316	0.0212404	-0.0562801	-0.0518342
0.00168268	0.862822	-0.0515338	-0.0550058	-0.0583878	0.0402595	0.0210687	-0.0528921	-0.05428
0.00105918	0.902515	-0.051977	-0.0545612	-0.0578422	0.0419372	0.0238147	-0.0558089	-0.0537633
0.000936028	0.942758	-0.0524608	-0.0541435	-0.0550633	0.0228892	0.0204304	-0.0547642	-0.0546479
0.00127476	0.983415	-0.052916	-0.0539752	-0.0505599	0.0298166	0.0105643	-0.0544803	-0.0539419
0.00177921	1.02436	-0.053254	-0.0541901	-0.0536866	0.0336047	0.0239154	-0.0550553	-0.0518169
0.00206193	1.06642	-0.0534312	-0.054706	-0.0538665	0.0385725	0.0211336	-0.0553864	-0.0524967
0.00183343	1.11026	-0.0534832	-0.0552624	-0.051942	0.0436977	0.0182501	-0.0555633	-0.0515079
0.00106718	1.15456	-0.0534739	-0.0555359	-0.0518866	0.0479807	0.0392551	-0.0540782	-0.0535069
2.98E-05	1.19814	-0.0534564	-0.0552898	-0.0528206	0.0581606	0.0286893	-0.0548526	-0.0535291
-0.000840797	1.24184	-0.0534954	-0.0545626	-0.0536502	0.0540903	0.0299355	-0.055491	-0.0524357
-0.00132849	1.28729	-0.0536178	-0.0536477	-0.0538674	0.059346	0.0330986	-0.0549725	-0.0528494
-0.00156159	1.33472	-0.0537031	-0.0528623	-0.0535615	0.058604	0.0354639	-0.0558932	-0.0549323
-0.00170928	1.38431	-0.0536488	-0.0523203	-0.0529749	0.0688443	0.0361158	-0.0540601	-0.0518748
-0.00171667	1.43855	-0.053497	-0.0519354	-0.0522538	0.0697814	0.0403255	-0.0550492	-0.0522883
-0.00141476	1.49826	-0.0533527	-0.0516434	-0.0515216	0.0765684	0.0398695	-0.0541623	-0.0546784
-0.000959526	1.55428	-0.0532233	-0.0515067	-0.0510938	0.0655304	0.0412866	-0.056954	-0.0520231
-0.000806967	1.60462	-0.0529912	-0.0515764	-0.051336	0.0696574	0.0447681	-0.0530588	-0.0522861
-0.00114918	1.6548	-0.0527492	-0.0517897	-0.0518065	0.0629454	0.0658031	-0.0568033	-0.0522836
-0.00159822	1.70539	-0.0527964	-0.0519895	-0.051699	0.0868572	0.0589105	-0.0565427	-0.0553665
-0.0016904	1.75274	-0.0532046	-0.0520554	-0.051106	0.0771975	0.0709912	-0.0558868	-0.0548265
-0.00152783	1.798	-0.0536233	-0.0520251	-0.0503659	0.0798054	0.0621305	-0.056369	-0.0545062
-0.0014378	1.84463	-0.0537006	-0.0520102	-0.049844	0.0886602	0.0589307	-0.0542982	-0.0542097
-0.00149522	1.89314	-0.0535456	-0.0520178	-0.0498031	0.080429	0.0623407	-0.0538821	-0.0533637
-0.00157764	1.94054	-0.0534146	-0.0519768	-0.0503257	0.0793813	0.0678688	-0.056613	-0.0517809
-0.00174985	1.98573	-0.0533458	-0.0518506	-0.0512364	0.0843695	0.0660279	-0.0549064	-0.0531675
-0.00231464	2.03007	-0.0532628	-0.0516851	-0.0519728	0.102794	0.075915	-0.0536849	-0.0514199
-0.00330153	2.07457	-0.0532715	-0.0515216	-0.0520686	0.100911	0.0664638	-0.0543222	-0.0546705
-0.00377596	2.11899	-0.053628	-0.0513134	-0.0516728	0.104202	0.0669049	-0.0560001	-0.0544877
-0.00360169	2.16308	-0.0543198	-0.0510183	-0.0511368	0.106274	0.0680474	-0.0526534	-0.0504357
-0.00286858	2.2074	-0.0544418	-0.0506658	-0.0506844	0.116333	0.0672302	-0.0542073	-0.0512402
-0.00181946	2.25293	-0.0539997	-0.0503981	-0.0503533	0.106233	0.0773605	-0.0548602	-0.0511303
-0.00119804	2.29935	-0.0532909	-0.0504223	-0.0500034	0.107262	0.0701254	-0.0557613	-0.0523222
-0.00161039	2.34481	-0.0526043	-0.0507849	-0.0495646	0.10303	0.0807104	-0.0552617	-0.0517667
-0.00264823	2.38875	-0.0523516	-0.0511536	-0.0492092	0.115092	0.0914812	-0.0555918	-0.0512712
-0.00323932	2.43247	-0.0525413	-0.0509309	-0.0491981	0.125377	0.083291	-0.0559212	-0.0536771
-0.00294624	2.47747	-0.0526328	-0.0499846	-0.0494607	0.119258	0.0846206	-0.0543143	-0.0510843
-0.00207782	2.52323	-0.0522274	-0.0489881	-0.049762	0.113124	0.0812646	-0.054452	-0.052001
-0.0014886	2.56737	-0.0517062	-0.04876	-0.0500145	0.112757	0.0875273	-0.0546405	-0.0527536
-0.00161255	2.61033	-0.0515447	-0.0494669	-0.0502484	0.130761	0.0799584	-0.0544919	-0.0529887
-0.00208679	2.65467	-0.0518696	-0.0503809	-0.0504548	0.131841	0.103803	-0.0541632	-0.0538598
-0.00224253	2.70184	-0.0523916	-0.050779	-0.0504439	0.14764	0.101362	-0.0551684	-0.0529337
-0.00188757	2.74973	-0.0526974	-0.0506106	-0.0501009	0.142823	0.101533	-0.0560967	-0.0518946
-0.00146158	2.79603	-0.0525785	-0.050336	-0.0497478	0.142596	0.101916	-0.0574851	-0.0532666
-0.00141928	2.8415	-0.0522968	-0.0504092	-0.0498411	0.140076	0.109815	-0.0555264	-0.0545062
-0.00179893	2.88785	-0.052384	-0.0509224	-0.0503046	0.135346	0.099058	-0.052333	-0.054557
-0.00222493	2.9358	-0.0529554	-0.0515361	-0.0504322	0.149376	0.110506	-0.0552641	-0.0521483
-0.00237041	2.98512	-0.0535544	-0.0517555	-0.0496121	0.14835	0.101879	-0.0549089	-0.0521079
-0.00222825	3.03515	-0.0537629	-0.051538	-0.0483114	0.149696	0.108604	-0.0556731	-0.0536343
-0.00206084	3.08478	-0.0537425	-0.0513721	-0.0484725	0.151469	0.112428	-0.0538046	-0.0525615
-0.00184344	3.13322	-0.0539176	-0.0516894	-0.048195	0.15723	0.114166	-0.0532597	-0.0523687
-0.00138631	3.18031	-0.0544234	-0.0523625	-0.0492362	0.156154	0.118494	-0.0553672	-0.0542828
-0.00081006	3.2263	-0.0549941	-0.0531506	-0.0543915	0.155878	0.11156	-0.054336	-0.0524569
-0.000287552	3.27186	-0.0552505	-0.0538641	-0.0587653	0.156147	0.109448	-0.0532431	-0.052563
2.87E-05	3.31811	-0.0550806	-0.0542705	-0.05912	0.157254	0.11275	-0.054195	-0.0519668
0.000172099	3.36614	-0.0547398	-0.0544522	-0.0574815	0.163759	0.120642	-0.054763	-0.0520752
0.000108793	3.41622	-0.0546185	-0.0546472	-0.0565085	0.164705	0.112565	-0.0546709	-0.0521279
-0.00026416	3.58955	-0.054833	-0.0550051	-0.0572698	0.164112	0.116926	-0.0533445	-0.0515829
0.00119915	3.7	-0.0553405	-0.0554493	-0.0589703	0.166881	0.125737	-0.0566928	-0.053537
0.000415869	3.8	-0.0556148	-0.0553506	-0.0594462	0.164545	0.129827	-0.0551691	-0.0518261
					0.175752	0.11737	-0.0543618	-0.0512087
					0.183431	0.131396	-0.0523075	-0.0489765
					0.185085	0.146135	-0.0557813	-0.0509959
					0.18215	0.139746	-0.0553558	-0.0525511
					0.187177	0.14643	-0.057173	-0.0543913
					0.187337	0.153278	-0.0552091	-0.0516053
					0.18901	0.141866	-0.056427	-0.0527348
					0.187049	0.142156	-0.0566709	-0.0504238
					0.192215	0.148412	-0.0550507	-0.0546066
					0.19595	0.143052	-0.0535721	-0.0508717
					0.194414	0.147306	-0.0549075	-0.0534572
					0.196233	0.140206	-0.0549516	-0.0540472
					0.20554	0.145841	-0.0558976	-0.0501788
					0.206019	0.146029	-0.0545145	-0.0525672
					0.205855	0.169717	-0.0555599	-0.0534191
					0.203663	0.161441	-0.0542402	-0.0512772
					0.204284	0.154065	-0.0551244	-0.0528808
					0.205546	0.157887	-0.0558891	-0.0543677
					0.207779	0.156403	-0.0565856	-0.0494899
					0.214083	0.157941	-0.0562216	-0.052895
					0.213373	0.147976	-0.054367	-0.051894
					0.210099	0.162968	-0.0552981	-0.052537
					0.212665	0.162291	-0.0545415	-0.0513185
					0.224599	0.159554	-0.0549982	-0.0517891
					0.20727	0.16022	-0.0569759	-0.0508174
					0.23305	0.163155	-0.0564116	-0.0519741
					0.226209	0.164254	-0.054975	-0.0515861
					0.231739	0.164275	-0.0556929	-0.050921
					0.218749	0.165267	-0.0549229	-0.0547158
					0.244682	0.162836	-0.0554329	-0.0507482
					0.236521	0.166227	-0.0560854	-0.0523687
					0.240138	0.164941	-0.0553304	-0.053588
					0.24847	0.162769	-0.0545439	-0.0541658
					0.237362	0.173678	-0.0535087	-0.0534969
					0.23537	0.180576	-0.0552183	-0.0534419
					0.251288	0.181873	-0.0565576	-0.0528253
					0.240428	0.18165	-0.0556028	-0.0532328
					0.241319	0.180896	-0.0539474	-0.0522399
					0.24528	0.182098	-0.0530369	-0.0543111
					0.266515	0.183195	-0.0537699	-0.0552999
					0.250279	0.189537	-0.0554704	-0.0539529
					0.251808	0.191359	-0.0557908	-0.0534756
					0.243751	0.19189	-0.0579329	-0.0543083
					0.256888	0.189119	-0.0533181	-0.052689
					0.266709	0.190979	-0.0538627	-0.0536977
					0.277583	0.190241	-0.0526506	-0.0511116
					0.271825	0.189809	-0.0542879	-0.0539031
					0.274048	0.18899	-0.054705	-0.0536235
					0.284798	0.188053	-0.0553332	-0.0492074
					0.267324	0.191139	-0.0549253	-0.0535201
					0.277941	0.189206	-0.0571549	-0.0534974
					0.269995	0.187967	-0.0578743	-0.0522107
					0.279152	0.191141	-0.0539322	-0.0541584
					0.284721	0.199428	-0.0551153	-0.0519987
					0.275597	0.200412	-0.0544542	-0.0521781
					0.269529	0.198183	-0.0550881	-0.0532326
					0.289045	0.196297	-0.0544312	-0.0526772
					0.290927	0.195784	-0.0542466	-0.0529672
					0.284781	0.210737	-0.055149	-0.0525369
					0.297728	0.196007	-0.0552189	-0.0535619
					0.286843	0.212476	-0.0551419	-0.0541739
					0.28836	0.1884	-0.0548892	-0.0524528
					0.295269	0.209911	-0.0572996	-0.0559061
					0.291075	0.20745	-0.0561768	-0.0524707
					0.288489	0.19081	-0.0554436	-0.0528521
					0.290597	0.206526	-0.0535308	-0.0526078
					0.295187	0.191201	-0.0551236	-0.05319
					0.318339	0.212814	-0.0544506	-0.052326
					0.311093	0.216774	-0.0548377	-0.0525843
					0.306525	0.213342	-0.0540241	-0.0511748
					0.306901	0.194724	-0.0560913	-0.0512298
					0.302004	0.199982	-0.0544465	-0.053767
					0.304851	0.203795	-0.0547923	-0.0516393
					0.322798	0.208471	-0.0534575	-0.0526959
					0.306163	0.200451	-0.0528067	-0.0522267
					0.312838	0.201408	-0.0569865	-0.0520824
					0.329378	0.206868	-0.0535345	-0.0520633
					0.326314	0.210546	-0.0547347	-0.0515875
					0.317708	0.207761	-0.0543937	-0.0518577
					0.335536	0.204534	-0.0540406	-0.0525037
					0.31853	0.207524	-0.0532708	-0.0540462
					0.310593	0.21392	-0.0552981	-0.0538591
					0.322509	0.207874	-0.0548132	-0.0522312
					0.324117	0.211476	-0.0543344	-0.0523614
					0.326721	0.220016	-0.0544262	-0.0518356
					0.332632	0.225841	-0.0527025	-0.0511588
					0.320303	0.219018	-0.0523322	-0.0522974
					0.349332	0.211286	-0.0513178	-0.0524491
					0.329108	0.220323	-0.0551426	-0.0536465
					0.331534	0.214122	-0.055027	-0.0519593
					0.329616	0.217713	-0.0518909	-0.0513686
					0.333145	0.243906	-0.0536502	-0.0497087
					0.330375	0.221891	-0.0546776	-0.0518041
					0.337309	0.237494	-0.0514848	-0.0524556
					0.331161	0.227172	-0.0542075	-0.0512161
					0.326179	0.231838	-0.0544816	-0.0534492
					0.340947	0.231051	-0.056174	-0.0525797
					0.345988	0.229447	-0.0543105	-0.0524521
					0.358264	0.24296	-0.055021	-0.0517877
					0.357615	0.247708	-0.0532786	-0.0537861
					0.346875	0.24172	-0.0550916	-0.0514988
					0.346815	0.241259	-0.0554728	-0.0531921
					0.35181	0.241003	-0.0534208	-0.054221
					0.365174	0.245619	-0.0558706	-0.0519687
					0.358238	0.240225	-0.0536363	-0.0512669
					0.361658	0.24486	-0.0544857	-0.0521347
					0.347728	0.236545	-0.054109	-0.0515187
					0.352396	0.227972	-0.0558676	-0.053315
					0.366613	0.237442	-0.0529785	-0.0523728
					0.357964	0.233212	-0.0543811	-0.052954
					0.362796	0.237456	-0.0558297	-0.0535728
					0.368657	0.238258	-0.0551007	-0.0515107
					0.349069	0.229191	-0.0548721	-0.0521054
					0.35262	0.232083	-0.0538011	-0.0540307
					0.369799	0.253067	-0.0551612	-0.0512122
					0.363046	0.244856	-0.0556225	-0.0524357
					0.371868	0.250228	-0.054137	-0.0521441
					0.3663	0.248759	-0.0545897	-0.0508155
					0.360033	0.245661	-0.0539744	-0.0547066
					0.378675	0.248575	-0.054085	-0.0524905
					0.360791	0.250814	-0.0545718	-0.0532173
					0.3638	0.237199	-0.0551336	-0.0523859
					0.366976	0.2419	-0.0560806	-0.0522293
					0.366397	0.244572	-0.0533234	-0.0542261
					0.374423	0.246752	-0.0566811	-0.051744
					0.368063	0.259782	-0.0573112	-0.0517221
					0.369357	0.261027	-0.0563088	-0.0535988
					0.369393	0.253311	-0.05605	-0.0529767
					0.382315	0.247398	-0.0553457	-0.0544507
					0.384996	0.254288	-0.0557576	-0.0528504
					0.381066	0.24703	-0.056136	-0.0535506
					0.389871	0.25155	-0.0543313	-0.052072
					0.371282	0.257822	-0.0531173	-0.0534065
					0.367961	0.251155	-0.0552797	-0.0534967
					0.377776	0.253299	-0.0546315	-0.054628
					0.390853	0.253297	-0.0546234	-0.0525414
					0.389619	0.249569	-0.0539061	-0.052962
					0.392385	0.254205	-0.0559684	-0.0521895
					0.383331	0.253313	-0.0555661	-0.0553391
					0.387561	0.25834	-0.0566187	-0.0518832
					0.398452	0.257492	-0.0540576	-0.0512338
					0.395566	0.260602	-0.0536263	-0.0505
					0.397077	0.258449	-0.0551569	-0.052245
					0.390528	0.255472	-0.0538365	-0.053081
					0.393697	0.259881	-0.0556125	-0.0509161
					0.394003	0.249969	-0.0553331	-0.0525679
					0.395672	0.259663	-0.0546919	-0.0517872
					0.39171	0.254983	-0.054788	-0.0519463
					0.393275	0.263543	-0.0545057	-0.0516294
					0.398495	0.262805	-0.0542982	-0.0528314
					0.408574	0.264187	-0.053901	-0.0522917
					0.393438	0.256918	-0.0528867	-0.0544471
					0.391629	0.25056	-0.0531874	-0.0525428
					0.411017	0.257424	-0.0546459	-0.0521828
					0.383912	0.254508	-0.0530285	-0.0523336
					0.386832	0.261355	-0.0542579	-0.0525243
					0.387476	0.252798	-0.0543042	-0.0515424
					0.3871	0.261865	-0.0559944	-0.0515117
					0.384532	0.251955	-0.0546066	-0.0530084
					0.385533	0.250071	-0.0521436	-0.052808
					0.401786	0.240438	-0.0530588	-0.0506756
					0.388074	0.254335	-0.052815	-0.0514729
					0.391292	0.270776	-0.0542971	-0.0515933
					0.392568	0.25704	-0.0535071	-0.0543903
					0.400734	0.254915	-0.0543821	-0.0539106
					0.394535	0.244407	-0.0556315	-0.0520568
					0.402118	0.253728	-0.0555118	-0.0533613
					0.387914	0.243262	-0.0545316	-0.0519727
					0.390391	0.257023	-0.0565566	-0.0529402
					0.398274	0.26692	-0.0553016	-0.0537637
					0.390543	0.246351	-0.0567492	-0.0537805
					0.412577	0.25984	-0.0573341	-0.052468
					0.403456	0.270798	-0.0552364	-0.0524221
					0.398084	0.253107	-0.0552513	-0.052464
					0.412306	0.251509	-0.0535507	-0.0543752
					0.393833	0.26303	-0.0535484	-0.0529918
					0.392552	0.248522	-0.054078	-0.0514753
					0.404042	0.253871	-0.0563206	-0.0530848
					0.401519	0.247604	-0.0550437	-0.0507745
					0.396301	0.256219	-0.0565774	-0.0532688
					0.390354	0.263374	-0.0541796	-0.0524829
					0.391281	0.251348	-0.0553563	-0.0519562
					0.408172	0.259644	-0.0529241	-0.0548573
					0.395646	0.245878	-0.0546576	-0.0534703
					0.390169	0.262282	-0.0563512	-0.0508677
					0.406919	0.237855	-0.0550573	-0.0532462
					0.389347	0.256022	-0.0538858	-0.0510261
					0.399989	0.26017	-0.0546738	-0.0521131
					0.406921	0.246808	-0.0561206	-0.0523594
					0.403845	0.256361	-0.0565669	-0.051641
					0.408169	0.263535	-0.0544551	-0.0535817
					0.399057	0.258544	-0.056873	-0.0498639
					0.390841	0.254861	-0.0557599	-0.0541382
					0.394338	0.25424	-0.0546737	-0.0523621
					0.392866	0.26017	-0.0539668	-0.0525385
					0.410157	0.256358	-0.054449	-0.0525662
					0.39591	0.261351	-0.0557966	-0.0546013
					0.389005	0.255114	-0.054518	-0.0530623
					0.392984	0.254866	-0.0550492	-0.0528758
					0.398536	0.27524	-0.0567722	-0.0523764
					0.399764	0.252159	-0.0548368	-0.0526694
					0.402942	0.256812	-0.0540739	-0.0518036
					0.399841	0.2508	-0.0553025	-0.0544047
					0.412447	0.257561	-0.0542661	-0.0541213
					0.405208	0.258443	-0.0582222	-0.0549995
					0.40418	0.253414	-0.0558283	-0.0520825
					0.406082	0.25243	-0.0562124	-0.05333
					0.381131	0.263832	-0.0549697	-0.051842
					0.414744	0.259515	-0.0551993	-0.0541483
					0.395415	0.272111	-0.0549711	-0.0515894
					0.401455	0.264392	-0.0569176	-0.0547757
					0.395327	0.253984	-0.0548981	-0.0519785
					0.398855	0.248357	-0.0568267	-0.0524025
					0.390152	0.256152	-0.0550947	-0.053473
					0.399129	0.263571	-0.0543043	-0.0544317
					0.379512	0.245998	-0.054434	-0.0514463
					0.391535	0.253382	-0.0555758	-0.0562215
					0.393069	0.261692	-0.0554187	-0.0521059
					0.389469	0.2548	-0.0535033	-0.0515898
					0.397147	0.261086	-0.0549769	-0.0553028
					0.408787	0.259196	-0.0562127	-0.0533284
					0.375565	0.255137	-0.0549796	-0.0517002
					0.394853	0.243724	-0.0562384	-0.0501758
					0.413609	0.247013	-0.0564466	-0.0532038
					0.391951	0.256856	-0.0571916	-0.0524171
					0.394973	0.254446	-0.0551324	-0.0521434
					0.396392	0.253172	-0.0528714	-0.0532327
					0.38512	0.250521	-0.0557101	-0.0519953
					0.392436	0.254602	-0.0560403	-0.0508349
					0.394061	0.26382	-0.0559195	-0.0546788
					0.396037	0.245195	-0.0558347	-0.0520546
					0.395449	0.25307	-0.0543582	-0.0522922
					0.390281	0.245596	-0.0578651	-0.053061
					0.37792	0.247696	-0.0555758	-0.053596
					0.396426	0.247547	-0.0562495	-0.0549329
					0.383401	0.25008	-0.0536867	-0.0497076
					0.40729	0.250765	-0.0535904	-0.0540495
					0.390023	0.250926	-0.0553239	-0.052856
					0.408197	0.237306	-0.0557556	-0.0554383
					0.398526	0.258076	-0.0533851	-0.0517489
					0.403093	0.246805	-0.0547926	-0.0530573
					0.396897	0.254939	-0.0547105	-0.0520016
					0.39788	0.254599	-0.0556501	-0.0537924
					0.405201	0.249501	-0.055165	-0.0520394
					0.382624	0.258203	-0.056689	-0.0510893
					0.380846	0.24671	-0.057524	-0.0522695
					0.368177	0.256774	-0.0569433	-0.0525049
					0.375376	0.256776	-0.0540852	-0.0556071
					0.379508	0.250974	-0.0550384	-0.0528357
					0.36893	0.259705	-0.055056	-0.052879
					0.376992	0.260817	-0.0545966	-0.0538706
					0.366063	0.2618	-0.05625	-0.0525758
					0.374059	0.242776	-0.0546563	-0.051373
					0.363551	0.253695	-0.0568428	-0.0519586
					0.372121	0.248603	-0.0544541	-0.0559964
					0.374606	0.256746	-0.0552897	-0.0505576
					0.382991	0.246338	-0.054	-0.052079
					0.371166	0.252492	-0.0546455	-0.0528673
					0.378365	0.24242	-0.0533849	-0.0531761
					0.375006	0.237745	-0.05554	-0.0522211
					0.3764	0.253144	-0.0540582	-0.0514213
					0.359056	0.238893	-0.0553734	-0.0536799
					0.368531	0.247831	-0.0554243	-0.0506585
					0.35444	0.243788	-0.0530778	-0.054965
					0.372038	0.237598	-0.0517581	-0.0534662
					0.361655	0.241929	-0.0545942	-0.0525368
					0.361585	0.26352	-0.0543399	-0.0522609
					0.36316	0.241962	-0.0535328	-0.0518528
					0.372487	0.252816	-0.05538	-0.0552179
					0.371532	0.248451	-0.0540618	-0.0542789
					0.370037	0.247519	-0.0540485	-0.0521862
					0.357482	0.245945	-0.0538807	-0.0519523
					0.371695	0.248628	-0.054088	-0.051787
					0.36574	0.242215	-0.0544429	-0.0549302
					0.370814	0.253985	-0.0546329	-0.0520012
					0.367693	0.233035	-0.0553509	-0.0518202
					0.367096	0.242849	-0.0529265	-0.0524944
					0.375573	0.254301	-0.0552009	-0.0537286
					0.369176	0.250429	-0.054296	-0.0543144
					0.368147	0.25115	-0.0556111	-0.0531733
					0.371426	0.254998	-0.0542574	-0.0533756
					0.376471	0.251724	-0.0566599	-0.0547245
					0.381587	0.246016	-0.0562952	-0.0547433
					0.365174	0.244679	-0.0537858	-0.051526
					0.372602	0.232473	-0.0543534	-0.0521793
					0.369206	0.249586	-0.0530557	-0.0523144
					0.358328	0.245783	-0.0551694	-0.0518578
					0.368382	0.248355	-0.0542941	-0.0529732
					0.380208	0.253755	-0.0570451	-0.0537086
					0.361147	0.238695	-0.0544206	-0.0513761
					0.368674	0.245442	-0.0535882	-0.0542806
					0.363426	0.241284	-0.0573898	-0.0542589
					0.365469	0.244473	-0.054546	-0.0539183
					0.373696	0.243602	-0.0545786	-0.0537905
					0.37285	0.241101	-0.0561636	-0.052839
					0.383263	0.248944	-0.0550948	-0.0530203
					0.36164	0.247423	-0.0544213	-0.05326
					0.375051	0.249104	-0.0545087	-0.0541053
					0.368945	0.249013	-0.0576648	-0.0526183
					0.377121	0.241013	-0.0557348	-0.0533322
					0.361945	0.250346	-0.053984	-0.0554069
					0.356744	0.239421	-0.0560543	-0.0511547
					0.362777	0.241253	-0.0523623	-0.0532998
					0.357662	0.25272	-0.0537657	-0.0534899
					0.362959	0.248795	-0.0527378	-0.0521237
					0.362246	0.243463	-0.0552717	-0.0521048
					0.36459	0.245681	-0.0561462	-0.0515328
					0.361111	0.250884	-0.0535761	-0.0527791
					0.358928	0.247133	-0.0560504	-0.0534595
					0.356439	0.251211	-0.0540135	-0.0533419
					0.366593	0.250784	-0.0573195	-0.05411
					0.371734	0.238615	-0.0559738	-0.0537595
					0.3608	0.243246	-0.0555483	-0.0535875
					0.345929	0.240192	-0.0565754	-0.0533066
					0.366469	0.238105	-0.0547398	-0.0526781
					0.361512	0.243307	-0.0541907	-0.0523566
					0.367123	0.230752	-0.0549478	-0.0535332
					0.374282	0.232232	-0.0541425	-0.0502635
					0.369165	0.23462	-0.0558725	-0.0534984
					0.354822	0.232809	-0.0540356	-0.0542066
					0.35225	0.238953	-0.0571093	-0.0519628
					0.362634	0.237282	-0.0567051	-0.0545844
					0.354468	0.245963	-0.0557657	-0.0539178
					0.370687	0.232623	-0.0546192	-0.0546823
					0.365669	0.239566	-0.0559256	-0.0526776
					0.353322	0.242525	-0.0562784	-0.0515522
					0.350332	0.240706	-0.0563068	-0.054351
					0.34276	0.246879	-0.0548264	-0.0545534
					0.356491	0.235421	-0.0553601	-0.0545907
